classifier,project,run,precision,recall,f1
Naive Bayes (Baseline),tensorflow,1,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,2,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,3,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,4,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,5,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,6,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,7,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,8,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,9,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,10,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,11,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,12,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,13,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,14,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,15,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,16,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,17,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,18,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,19,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,20,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,21,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,22,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,23,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,24,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,25,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,26,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,27,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,28,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,29,0.0,0.0,0.0
Naive Bayes (Baseline),tensorflow,30,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,1,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,2,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,3,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,4,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,5,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,6,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,7,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,8,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,9,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,10,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,11,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,12,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,13,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,14,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,15,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,16,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,17,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,18,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,19,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,20,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,21,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,22,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,23,0.0,0.0,0.0
Naive Bayes (Baseline),pytorch,24,0.0,0.0,0.0
